offer_id,title,job_name,job_type,contract_type,salary_label,salary_min,salary_max,min_experience,latitude,longitude,date,source,offer_description,city,region,document,clean_document,cluster
1,DBA Oracle et PostgreSQL H/F,DBA (H/F),FULL_TIME,CDI,,,,3.0,45.74846,4.84671,2025-12-17,NTNE,"Description du poste : Mission principale : Nous recherchons pour l'un de nos clients un Administrateur de Bases de Données qui sera responsable de la gestion, de l'optimisation et de la migration des bases de données de l'entreprise. Il jouera un rôle crucial dans le maintien de la performance des bases de données et sera impliqué dans des projets de migration et d'optimisation à grande échelle. Responsabilités : Administrer et optimiser les bases de données Oracle 11g. Mettre en œuvre des stratégies de partitionnement des bases de données Oracle. Gérer les environnements de datawarehouse décisionnel, y compris l'alimentation par batch, les tables de fait et de dimension, et les performances des requêtes d'analyse. Assurer la réplication, la sauvegarde, la configuration et l'optimisation des bases de données Oracle. Superviser les migrations de bases de données Oracle vers PostgreSQL, notamment en production. Utiliser Ora2PG pour la migration de bases de données dans un contexte de BI. Administrer des bases de données PostgreSQL (idéalement à partir de la version 12). Gérer des environnements à forte volumétrie et à haut niveau de performance (BI/DATA). Utiliser RMAN pour la gestion des sauvegardes, des restaurations et le traitement des problématiques de corruption. Assurer la supervision et le monitoring des bases de données. Appliquer les méthodes d'analyse Oracle (DB Time, Rapports ASH & AWR, différents Advisors) pour la gestion des performances. Travailler dans un environnement Linux. Participer à des projets en méthodologie Agile.",Lyon,Rhône,DBA Oracle et PostgreSQL H/F,dba oracle postgresql,2
2,Ingénieur(e) Vérification ASIC (H/F),Ingénieur validation (H/F),FULL_TIME,CDI,À partir de 200 € par an,200.0,,1.0,43.63292,6.99911,2025-12-17,NTNE,"En intégrant dans une équipe projet multi sites de 10 ingénieur(e)s dans un contexte international, tu participeras à la vérification (dirigée et UVM) d'une nouvelle génération de SoC. Pour mener à bien cette mission challengeante, tu devras : - Rédiger des plans de vérification - Implémenter l'environnement de tests en SystemVerilog - Développer des modèles en SystemVerilog et C - Implémenter des générateurs de séquences et de testcases dirigés en C ou VHDL - Rédiger des rapports de vérification L'objectif c'est de participer à un projet ambitieux et évoluer! L'agence de rattachement de cette offre se situe à Nice-sophia-antipolis.L'agence de rattachement de cette offre se situe à Nice Sophia-Antipolis. Profil Recherché Ingénieur(e) en microélectronique, tu possèdes une première expérience professionnelle en design ou vérification bloc ou top level de SoC. Tu maîtrises une ou plusieurs de ces techniques: Vérification de SoC UVM Les langages SystemVerilog Specman ou C embarqué VHDL ou le Verilog Tu maîtrises bien l'anglais et aimes voyager ? Tant mieux! Des déplacements en Europe seront à prévoir. Tu es rigoureux(se) et apprécies le travail d'équipe Tu possèdes un bon relationnel et respectes des engagments Si c'est le cas, tu es celui/celle qu'il nous faut! Alors postule vite pour nous rejoindre =) Avantages Salariaux 10 jours de RTT par an Allocation repas ou Titre restaurant presque intégralement pris en charge Mutuelle Santé Famille Compte Epargne Temps Participation et Intéressement Prime de cooptation de 1000 ou 1500 € Prime de vacances Prime Transport de 200 € net par an et 50 € brut mensuel. Qui sommes-nous ELSYS Design est une société d'ingénierie spécialisée dans la conception de systèmes électroniques embarqués. Nous accompagnons nos clients issus de secteurs variés (énergie, semiconducteur, défense, spatial, transport, etc.) dans 4 domaines principaux : la microélectronique ( FPGA , ASIC , SoC ), la carte , le logiciel embarqué et l' ingénierie système . Chez ELSYS Design, nous sommes tous ingénieurs , votre manager sera donc lui aussi issu de la technique. Il veillera à vous proposer des projets pertinents qui vous permettront de vous constituer une expérience riche, bâtie sur un socle de compétences recherchées . Vous aimez relever des défis techniques ? Vous avez envie d'évoluer dans une ambiance humaine, bienveillante et responsabilisante ? D'intégrer une structure familiale, présentant les avantages d'un grand groupe ? Alors, n'hésitez plus : postulez et rencontrons-nous !",Valbonne,Alpes-Maritimes,Ingénieur(e) Vérification ASIC (H/F),ingénieur vérification asic,2
3,Analyste Crédit (F/H),Analyste crédit (H/F),FULL_TIME,CDI,30 000 € - 35 000 € par an,30000.0,35000.0,3.0,45.69706,4.88593,2025-12-17,NTNE,"Construisons l'avenir en commençant par le vôtre ! Vous êtes organisé(e), et méthodique ? Vous avez à coeur d'apporter votre expertise, pour contribuer à la performance de l'entreprise ? Nous avons le poste qu'il vous faut ! PROLIANS Rhône-Alpes Auvergne , partenaire des métiers de la construction et filiale du Groupe DESCOURS & CABAUD, recherche un/une : Analyste Crédit (F/H) - CDI - VÉNISSIEUX (69) VOTRE AVENIR CHEZ NOUS Rattaché(e) à la Credit Manager et intégré(e) au sein d'une équipe d'une dizaine de collaborateurs soudés, dans laquelle le professionnalisme s'allie à la convivialité. À ce titre, vous : Gérez et sécurisez le risque clients Évaluez la solvabilité des clients et prospects : analyse financière, scoring, enquêtes, entretiens clients pour collecter les éléments nécessaires. Définissez et recommandez les limites de crédit adaptées, tout en accompagnant le développement commercial. Suivez les garanties et le contrat d'assurance-crédit : traitement des demandes, modifications, mise à jour des limites dans les outils internes. Garantissez le respect des conditions de l'assureur-crédit et contribuez à l'application de la politique risque de la filiale. Suivez les dépassements de limites de crédit et anticipez les blocages / déblocages des comptes clients. Etês un relais clé auprès des agences et de la direction Sensibilisez les directeurs d'agence aux enjeux du crédit clients et aux bonnes pratiques. Préparez les dossiers pour les comités risques et les rendez-vous d'arbitrage avec l'assureur ; rédigez les notes de synthèse associées. Mettez à jour et fiabilisez la base de données clients de la filiale. Assurez la gestion complète d'un portefeuille clients Menez le recouvrement amiable BtoB : relances préventives, suivi, bascule éventuelle en contentieux. Qualifiez les litiges et suivez la résolution en coordination avec les agences. Établissez et analysez les balances âgées clients ; animez des plans d'action avec les directeurs d'agence. Contribuez aux projets et à l'amélioration continue Participez aux projets du groupe liés au crédit clients, à la data ou aux processus internes. Produisez les reportings crédit mensuels. Contribuez à l'amélioration continue des outils, processus et supports de formation des agences.",Vénissieux,Rhône,Analyste Crédit (F/H),analyste crédit,2
4,Ingénieur Verification ASIC,Ingénieur validation (H/F),FULL_TIME,CDI,À partir de 200 € par an,200.0,,1.0,43.5283,5.44973,2025-12-17,NTNE,"En tant qu'Ingénieur Vérification ASIC, vous jouerez un rôle clé dans la validation des designs numériques complexes. Vous interviendrez dans un environnement sécurisé et conforme aux standards de développement, en utilisant des méthodologies avancées de vérification. Vos responsabilités : - Définir et rédiger les plans de vérification - Développer des environnements de test en SystemVerilog avec UVM - Créer des stimuli et scénarios de test (PSS, Perspec) - Réaliser des simulations RTL et netlist - Analyser les résultats et assurer la couverture fonctionnelle - Automatiser les tests et scripts en C si nécessaire - Utiliser des outils de vérification tels que Cadence, Spyglass, JasperGold - Gérer les configurations avec SVN ou Git - Respecter le design flow interne et les standards qualité L'agence de rattachement de cette offre se situe à Aix.L'agence de rattachement de cette offre se situe à Aix-En-Provence. Profil Recherché - Diplôme d'ingénieur ou équivalent en électronique, micro-électronique ou systèmes embarqués - Minimum 2 ans d'expérience en vérification ASIC - Maîtrise des langages SystemVerilog, Verilog/VHDL - Expertise en méthodologies UVM et connaissance des standards PSS - Connaissance des outils de vérification (Cadence, Spyglass, JasperGold) - Autonomie, rigueur et capacité à travailler en équipe Avantages Salariaux 10 jours de RTT par an Allocation repas ou Titre restaurant presque intégralement pris en charge Mutuelle Santé Famille Compte Epargne Temps Participation et Intéressement Prime de cooptation de 1000 ou 1500 € Prime de vacances Prime Transport de 200 € net par an et 50 € brut mensuel. Qui sommes-nous ELSYS Design est une société d'ingénierie spécialisée dans la conception de systèmes électroniques embarqués. Nous accompagnons nos clients issus de secteurs variés (énergie, semiconducteur, défense, spatial, transport, etc.) dans 4 domaines principaux : la microélectronique ( FPGA , ASIC , SoC ), la carte , le logiciel embarqué et l' ingénierie système . Chez ELSYS Design, nous sommes tous ingénieurs , votre manager sera donc lui aussi issu de la technique. Il veillera à vous proposer des projets pertinents qui vous permettront de vous constituer une expérience riche, bâtie sur un socle de compétences recherchées . Vous aimez relever des défis techniques ? Vous avez envie d'évoluer dans une ambiance humaine, bienveillante et responsabilisante ? D'intégrer une structure familiale, présentant les avantages d'un grand groupe ? Alors, n'hésitez plus : postulez et rencontrons-nous !",Aix-en-Provence,Bouches-du-Rhône,Ingénieur Verification ASIC,ingénieur verification asic,2
5,Business Analyst Data  (IT),Business analyst (H/F),FULL_TIME,CDI,35 000 € - 45 000 €,35000.0,45000.0,,45.74846,4.84671,2025-12-17,NTNE,"Dans le cadre de ses projets Data, notre client cherche à renforcer ses équipes en intégrant 2 Business Analyst Data qui seront en charge de l'analyse et l'étude des besoins avec les métiers. Le rôle est stratégique puisqu'il faudra accompagner plusieurs entités du groupe dans les décisions fonctionnelles. Missions principales : -  Analyse de besoins avec les métiers -  Rédaction d'EDB (études de besoins) -  Conduite d'ateliers de décisions fonctionnelles avec les autres entités du groupe. -  Animation de meetings -  Manipulation et requêtes SQL pour construction jeux de données",Lyon,Rhône,Business Analyst Data  (IT),business analyst data,5
6,Data Engineer (H/F) - Lyon (IT),Data Engineer (H/F),FULL_TIME,CDI,40 000 € - 45 000 €,40000.0,45000.0,,45.74846,4.84671,2025-12-17,NTNE,"Notre client, acteur majeur du secteur [énergie / distribution], recherche un.e Data Engineer confirmé.e pour renforcer ses équipes Data. Le poste combine Data Engineering et MLOps, avec une implication sur l'ensemble du cycle de vie des pipelines de données et modèles ML. Missions principales : Data Engineering (intervention sur 2 projets) Concevoir, développer et maintenir les pipelines de données pour 2 applications disctinctes. Assurer l'ingestion, la transformation et le stockage de données à grande échelle. Optimiser les traitements pour garantir des performances adaptées aux volumes traités. Mettre en place des mécanismes de qualité des données (contrôles, alertes, monitoring). Collaborer avec le pôle Développement pour définir les interfaces de données (API, bases de données). Documenter les flux de données et maintenir le catalogue de données. MLOps (Intervention sur 1 des 2 projets) Industrialiser l'entraînement des modèles ML pour l'optimisation du dimensionnement des groupes électrogènes. Déployer des pipelines CI/CD pour les modèles ML (versioning des données et modèles, automatisation de l'entraînement). Assurer le monitoring des performances des modèles en production (drift detection, métriques de performance). Collaborer avec les Data Scientists pour faciliter le passage des modèles du développement à la production.",Lyon,Rhône,Data Engineer (H/F) - Lyon (IT),data engineer lyon,8
7,Consultant / Business analyst SAP MDG (IT),Business analyst (H/F),FULL_TIME,INDEPEDENT,750 € - 930 €,750.0,930.0,,45.74846,4.84671,2025-12-17,NTNE,"Consultant / BA SAP MDG - Programme S/4HANA - Remote + 2 à 3 jours par semaine sur site Dans le cadre d'un programme S/4HANA (migration brownfield), chez un de nos prestigieux clients, nous recherchons un consultant SAP MDG pour implémenter le module de Master Data Gouvernance. C'est une mission full time pour 6 mois renouvelable (mission prévue pour au moins 18 mois). Tout est en français (atelier, rédaction de la conception) sauf la doc technique qui est en anglais. L'architecture est terminée, il faut désormais travailler main dans la main avec les équipes métier. Il faudra se déplacer sur site 2 ou 3 jours semaine en fonction des contraintes (plus au début et quand il y aura les ateliers, et le reste en remote). Entretiens et sélection dès cette semaine. Démarrage prévu début Janvier. Merci de nous transmettre votre CV en français pour considération immédiate.",Lyon,Rhône,Consultant / Business analyst SAP MDG (IT),consultant business analyst sap mdg,5
8,Chargé e-commerce (H/F),Chargé d'e-commerce (H/F),FULL_TIME,CDI,,,,1.0,46.09859,3.44461,2025-12-17,NTNE,"NSE recherche un(e) Chargé(e) E-commerce pour rejoindre notre site d’Abrest dans le cadre d’une création de poste pour renforcer son service communication. Le/La Chargé(e) E-commerce aura en charge le pilotage de l’activité e-commerce. Pour cela, vos missions seront les suivantes : - Gestion opérationnelle du site e-commerce : Gérer et mettre à jour le catalogue produit sur le CMS (fiches produits, déclinaisons), Optimiser l’ergonomie et le tunnel d’achat pour améliorer la conversion, Veiller à la cohérence de l’arborescence et de la navigation sur le site, Assurer la publication des nouveautés, collections, campagnes commerciales. - Suivi de la performance e-commerce : Suivre quotidiennement les KPIs : trafic, taux de conversion, panier moyen, etc... Analyser les performances via Matomo (ou autre outil d’analyse) et proposer des recommandations, Produire des reportings réguliers à la direction avec synthèse des actions et résultats. - Optimisation du SEO et des pages stratégiques : Collaborer avec le chargé de contenu pour optimiser le référencement naturel (balises, contenus, performances), Suivre les pages de destination (landing pages, campagnes, home) pour les adapter en fonction des priorités produits ou saisonnalités - Animation commerciale et coordination des campagnes : Définir et planifier les temps forts commerciaux (promotions, lancements, soldes…), Briefer le chargé de contenu sur les besoins opérationnels (bannières, visuels, contenus) et mettre en place les campagnes (codes promo, pages dédiées, mécaniques spécifiques). - Support client & relationnel BtoC : Être le référent de niveau 2 pour les questions complexes du service client (technique, livraison, litige), Aider à l’optimisation des FAQ et de l’expérience post-achat. - Approvisionnement et logistique : Gérer les approvisionnements produits en lien avec l’équipe achat, Assurer le suivi des niveaux de stock disponibles pour la boutique. - Participer et organiser les salons : (stand, transport, produits, présentation, relationnel), - Gérer les relations avec les clients et fournisseurs : grands comptes BtoB dans le cadre des ventes spécifiques.",Abrest,Allier,Chargé e-commerce (H/F),chargé commerce,2
9,Alternant(e) Développeur(se) API IA F/H (H/F),Développeur Fullstack (H/F),FULL_TIME,APPRENTICE,,,,,45.78053,4.74637,2025-12-16,NTNE,"Spécialiste en conseil et édition de logiciels, Visiativ s'appuie sur des services et solutions de digitalisation pour accompagner nos clients en France et à l'international, dans leur transformation numérique.Nos équipes Visiativ œuvrent à :Développer les solutions de demainConseiller et accompagner les entreprises dans tous leurs projets digitauxDéployer les outils et solutions chez tous nos clientsNotre conviction chez Visiativ ?La transformation permet à nos clients de se réinventer et de prospérer. C'est pour cela que nous avons mis l'innovation au cœur de notre métier.Nous recherchons notre futur alternant(e) Développeur(se) API IA qui rejoindra notre équipe Building Block afin de participer au développement, à l'optimisation et à la mutualisation d'API pour l'ensemble des produits SaaS de l'entreprise Visiativ, en particulier autour de solutions basées sur le RAG (Retrieval-Augmented Generation) et l'intégration de modèles IA.Si vous préparez un diplôme d'ingénieur, spécialisé(e) en informatique et que vous recherchez une alternance de 2 ans ou plus dès janvier 2026, ce poste est fait pour vous !Vous serez basé(e) dans notre agence de Paris Gare de Lyon.VOS FUTURES MISSIONSContribuer à la conception, au développement et à la documentation d'API mutualisablesParticiper à la mise en place d'architectures RAG (gestion de bases vectorielles, pipelines de récupération d'information, intégration avec LLM)Réaliser des tests unitaires et d'intégration pour garantir la qualité et la performance des solutionsCollaborer avec l'équipe produit pour comprendre les besoins métiers et proposer des solutions techniques adaptéesAssurer une veille technologique sur les outils IA/LLM, frameworks backend et bonnes pratiques DevOpsParticiper à l'industrialisation et au déploiement des API (CI/CD, conteneurisation...)LES ÉTAPES DU PROCESSUS DE RECRUTEMENTAprès un premier échange de préqualification avec notre chargée de mission RH, Emma, vous rencontrerez et échangerez avec votre futur manager, Guillaume, pour vous présenter le poste et échanger sur vos motivations.Et après ? . Bienvenue chez Visiativ !VOS ATOUTS POUR CE POSTECompétences techniques recherchées :Langages de programmation : Python (indispensable)Frameworks backend : FastAPI, Flask, ou autreBases de données : SQL, connaissance des bases vectoriellesNotions en NLP / LLM : compréhension du RAG, fine-tuning, embeddings...DevOps : Git, Docker, CI/CD, tests automatisés...Environnement cloud (Azure, AWS) - un plus Profil recherché :Étudiant(e) en école d'ingénieur ou équivalent, spécialisé(e) en informatique / IA / data / génie logiciel.Intérêt marqué pour l'IA générative, les LLM (modèle d'IA comme chat gpt) et leurs applications concrètes.Bonnes bases en algorithmique et structures de données.Rigueur, autonomie et curiosité technique.Capacité à travailler en équipe et à s'adapter à un environnement agile.Si vous vous reconnaissez dans cette description, alors n'hésitez plus et postulez à notre offre !POURQUOI NOUS REJOINDRE ?Un parcours d'Onboarding et d'intégration complet pour vous donner toutes les clés de réussite dès votre prise de poste (Formations, Mise en situation, Vis ma vie, Accompagnement en binôme.) ;Une proximité avec les Managers, impliqués dans vos enjeux, permettant une collaboration et une co-construction au quotidien ;Le développement de vos compétences avec le catalogue interne de formation l'Academy : +150 modules accessibles partout, à tout moment et pour tous nos collaborateurs ;Des actions d'engagement RSE à l'initiative des collaborateurs (engagement collaborateurs, courses solidaires...) ;Des opportunités de mobilité interne, en France et à l'international.Venez vivre des expériences variées, rejoignez-nous ! Localisation : 69260 Charbonnières-les-Bains",Charbonnières-les-Bains,Rhône,Alternant(e) Développeur(se) API IA F/H (H/F),alternant développeur api,2
10,STAGIAIRE OPTIMISATION DE LA PRODUCTION H/F,Cadre en production industrielle (H/F),FULL_TIME,TRAINING,,,,1.0,45.6075,5.54472,2025-12-16,NTNE,"Depuis 1961, Sigma, filiale historique de POMA, est spécialisée dans la conception, la fabrication et le montage final de cabines destinées au transport de personnes. Le savoir-faire Sigma s'étend au-delà d'un catalogue de produits standards. L'entreprise conçoit et réalise également des cabines sur mesure pour les projets spéciaux tels que les funiculaires, les APM ou encore les capsules de roues d'observation. Dans le monde, 1 véhicule de transport par câble sur 2 sort des ateliers Sigma et plus de 22 000 cabines produites par Sigmacabins sont implantées sur les 5 continents. Dans le cadre du développement de nos activités industrielles et de l'optimisation de nos procédés, nous recherchons un(e) élève ingénieur(e) pour un stage de 4 à 6 mois au sein de notre équipe. Le stage peut également être réalisé dans le cadre d'un Projet de Fin d'Études, avec la possibilité de définir un projet majeur faisant l'objet d'une étude approfondie durant la mission. Missions : Modélisation et optimisation de lignes ou de flux industriels. Analyse de données de production et mise en place d'outils d'aide à la décision. Réalisation d'études de faisabilité sur différents projets techniques. Mise en place et suivi d'indicateurs de performance. Contribution à des démarches d'amélioration continue (process, qualité, organisation). Élève ingénieur(e) en génie industriel, mécanique, généraliste, data ou domaine similaire. Intérêt pour l'industrie, l'analyse de données et la résolution de problèmes. Esprit de synthèse, rigueur et autonomie. Connaissances nécessaires : Excel avancé Compétences appréciées : Power BI, Visio ou équivalent, VBA Conditions : Durée : 4 à 6 mois. Encadrement par l'équipe en charge de la production Possibilité de définir un sujet PFE au besoin",Corbelin,Isère,STAGIAIRE OPTIMISATION DE LA PRODUCTION H/F,stagiaire optimisation production,2
