offer_id,title,job_name,job_type,contract_type,salary_label,salary_min,salary_max,min_experience,latitude,longitude,date,source,offer_description,city,region,document,clean_document,score,method
4606,Ingénieur·e Systèmes d'Information F/H,Ingénieur·e Systèmes d'Information F/H,FULL_TIME,CDI,,,,,48.596656,2.672456,2025-12-05,APEC,"Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, où le transport aérien devient toujours plus respectueux de l'environnement, plus confortable et plus accessible. Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance. La société est notamment, à travers CFM International, le leader mondial de la propulsion d'avions commerciaux court et moyen-courriers. Dans le domaine de la propulsion militaire, la société a intégralement conçu développé et produit le M88 et le M53 qui équipent respectivement le Rafale et le Mirage 2000 et sera intégrateur du moteur du futur avion de combat européen. Au sein de Safran Aircraft Engines, la Direction de l'Engineering du Support et des Services a pour mission d'assurer la satisfaction des clients et la profitabilité des activités par l'expertise technique tout en garantissant la sécurité des vols. Elle compte ainsi une pluralité de métiers qui gèrent la relation client, le suivi du comportement des produits en service et l'élaboration d'actions correctives permettant d'optimiser le coût d'exploitation des moteurs en service. Rattaché(e) à l'unité Maintenabilité moteurs civils, vous assurerez le rôle d'ingénieur systèmes d'information en lien avec le PLM (Product Life Management) de nos activités d'Analyse du Soutien Logistique, développé sur la plateforme 3DExperience de Dassault Systèmes. Ce PLM développé au sein de Safran Aircraft Engine a pour ambition d'être au coeur des activités d'études de maintenabilité, de spécifications des procédures et moyens de maintenance de nos moteurs en service et en développement. Il constitue notre BASL (Base d'Analyse du Soutien Logistique). Vos principales activités seront les suivantes : - Coordonner les différents métiers utilisateurs de la BASL, en définissant avec les garants processus les règles de fonctionnement et d'utilisation des applications associées. - Capter et gérer les besoins d'évolution des applications, en identifiant les axes d'amélioration et en arbitrant les demandes de modification à initier vers l'équipe projet de développement de la BASL, - Proposer des améliorations de processus en lien avec les applications de la BASL et en vue d'augmenter la performance du service, - Mettre en place et piloter un réseau, en accompagnant la formation des relais locaux nécessaire au support de niveau 1 et la montée en compétence des utilisateurs, - Assurer le rôle de gestionnaire des données (Data Steward), en définissant les standards et bonnes pratiques ainsi qu'en monitorant la qualité des données renseignées par les différents métiers, - Participer au plan d'amélioration de l'unité, en pilotant des activités du plan de progrès (méthodologies, outils,..).",Bruxelles,Aube,Ingénieur·e Systèmes d'Information F/H,ingénieur systèmes information,0.5680008613340478,lsa
5058,Ingénieur-e systèmes d'information F/H,Ingénieur-e systèmes d'information F/H,FULL_TIME,CDI,,,,5.0,48.596656,2.672456,2025-12-03,APEC,"Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance. La société est notamment, à travers CFM International, le leader mondial de la propulsion d'avions commerciaux court et moyen-courriers. Dans le domaine de la propulsion militaire, la société a intégralement conçu développé et produit le M88 et le M53 qui équipent respectivement le Rafale et le Mirage 2000 et sera intégrateur du moteur du futur avion de combat européen. Au sein de Safran Aircraft Engines, la Direction de l'Engineering du Support et des Services a pour mission d'assurer la satisfaction des clients et la profitabilité des activités par l'expertise technique tout en garantissant la sécurité des vols. Elle compte ainsi une pluralité de métiers qui gèrent la relation client, le suivi du comportement des produits en service et l'élaboration d'actions correctives permettant d'optimiser le coût d'exploitation des moteurs en service. Rattaché(e) à l'unité Maintenabilité moteurs civils, vous assurerez le rôle d'ingénieur systèmes d'information en lien avec le PLM (Product Life Management) de nos activités d'Analyse du Soutien Logistique, développé sur la plateforme 3DExperience de Dassault Systèmes. Ce PLM développé au sein de Safran Aircraft Engine a pour ambition d'être au coeur des activités d'études de maintenabilité, de spécifications des procédures et moyens de maintenance de nos moteurs en service et en développement. Il constitue notre BASL (Base d'Analyse du Soutien Logistique). Vos principales activités seront les suivantes : - Coordonner les différents métiers utilisateurs de la BASL, en définissant avec les garants processus les règles de fonctionnement et d'utilisation des applications associées. - Capter et gérer les besoins d'évolution des applications, en identifiant les axes d'amélioration et en arbitrant les demandes de modification à initier vers l'équipe projet de développement de la BASL, - Proposer des améliorations de processus en lien avec les applications de la BASL et en vue d'augmenter la performance du service, - Mettre en place et piloter un réseau, en accompagnant la formation des relais locaux nécessaire au support de niveau 1 et la montée en compétence des utilisateurs, - Assurer le rôle de gestionnaire des données (Data Steward), en définissant les standards et bonnes pratiques ainsi qu'en monitorant la qualité des données renseignées par les différents métiers, - Participer au plan d'amélioration de l'unité, en pilotant des activités du plan de progrès (méthodologies, outils,..).",MONTEREAU-SUR-LE-JARD,,Ingénieur-e systèmes d'information F/H,ingénieur systèmes information,0.5680008613340478,lsa
4650,Concepteur systèmes embarqués F/H,Concepteur systèmes embarqués F/H,FULL_TIME,CDI,45 - 45 k€ brut annuel,45.0,45.0,1.0,47.2409919,5.2211056,2025-12-05,APEC,"Nous recherchons un ingénieur ou une ingénieure en développement logiciel embarqué pour rejoindre notre équipe innovante. Vous serez responsable de la conception de la partie électronique, du développement et de l’optimisation de solutions logicielles pour des systèmes embarqués complexes, intégrant des technologies avancées telles que l’Internet des objets, le traitement du signal et l’apprentissage automatique. Ce poste offre l’opportunité de travailler sur des projets à la pointe de la technologie, en collaboration avec des équipes pluridisciplinaires, dans un environnement dynamique et stimulant. Responsabilités Définir le cahier des charges partie électronique et informatique Gérer les projets confiés par rapport aux objectifs fixés du début jusqu’à la mise en production Elaborer l’architecture hardware et software des produits dans le respect des normes (CEM,CE ,UL…) Réaliser le schéma électronique, la nomenclature, le routage et la validation de la carte Développer le logiciel embarqué et en assurer le suivi Industrialiser et suivre la fabrication des cartes chez les sous -traitants Faire les tests et les qualifications des produits. Assurer la veille technologique des cartes électroniques existantes pour en garantir la pérennité Coordonner ses activités avec le BE mécanique et la production pour l’intégration des produits Contribuer à la documentation technique et à la veille technologique pour proposer des améliorations continues.",Bruxelles,Aube,Concepteur systèmes embarqués F/H,concepteur systèmes embarqués,0.5615457692053617,lsa
1594,Concepteur / Conceptrice Ingénieur systèmes embarqués F/H,Concepteur / Conceptrice Ingénieur systèmes embarqués F/H,FULL_TIME,CDI,45 - 47 k€ brut annuel,45.0,47.0,3.0,47.3228583,5.0375294,2025-12-16,APEC,"Nous recherchons un ingénieur ou une ingénieure en développement logiciel embarqué pour rejoindre notre équipe innovante avec le Directur de site. Vous serez responsable de la conception de la partie électronique, du développement et de l’optimisation de solutions logicielles pour des systèmes embarqués complexes, intégrant des technologies avancées telles que l’Internet des objets, le traitement du signal et l’apprentissage automatique. Ce poste offre l’opportunité de travailler sur des projets à la pointe de la technologie, en collaboration avec des équipes pluridisciplinaires, dans un environnement dynamique et stimulant. Le poste est basé à Genlis - 21, à 10 minutes de Dijon. Responsabilités : Définir le cahier des charges partie électronique et informatique Gérer les projets confiés par rapport aux objectifs fixés du début jusqu’à la mise en production Elaborer l’architecture hardware et software des produits dans le respect des normes (CEM,CE ,UL…) Réaliser le schéma électronique, la nomenclature, le routage et la validation de la carte Développer le logiciel embarqué et en assurer le suivi Industrialiser et suivre la fabrication des cartes chez les sous -traitants Faire les tests et les qualifications des produits. Assurer la veille technologique des cartes électroniques existantes pour en garantir la pérennité Coordonner ses activités avec le BE mécanique et la production pour l’intégration des produits Contribuer à la documentation technique et à la veille technologique pour proposer des améliorations continues. Si vous souhaitez contribuer à des projets innovants dans un secteur en constante évolution, rejoignez notre équipe dès maintenant. Poste en CDI, Forfait jour, au sein d'une petite équipe de travail. Type d'emploi : Temps plein, CDI Statut : Cadre Lieu du poste : En présentiel",BESANCON,,Concepteur / Conceptrice Ingénieur systèmes embarqués F/H,concepteur conceptrice ingénieur systèmes embarqués,0.5349217844804719,lsa
5178,Expert Systèmes Ingénieur Systèmes F/H,Expert Systèmes Ingénieur Systèmes F/H,FULL_TIME,CDI,47 - 52 k€ brut annuel,47.0,52.0,,43.5361176,5.3985946,2025-12-03,APEC,"Dans le cadre de la croissance de l'activité du service, nous recherchons un Expert M365 pour accompagner la conception, la mise en oeuvre et l'évolution des solutions collaboratives au sein de la DSI. Description du poste Intégré(e) à la Direction du SI Bureautique, vous interviendrez en tant qu'expert pour définir, déployer et optimiser les interfaces et solutions Microsoft 365 destinées à l'ensemble des collaborateurs de l'organisation. Votre rôle consistera à garantir la cohérence, la performance et la sécurité de l'écosystème M365 en alignement avec les orientations stratégiques. Livrables attendus Documents d'architecture Études d'impact Documents d'exploitation Modes opératoires / documents d'installation Rapports d'incidents / REX Études techniques diverses Recommandations d'optimisation ou d'amélioration",Bruxelles,Aube,Expert Systèmes Ingénieur Systèmes F/H,expert systèmes ingénieur systèmes,0.518851376602469,lsa
5457,Ingénieur Systèmes embarqués F/H,Ingénieur Systèmes embarqués F/H,FULL_TIME,CDI,A partir de 40 k€ brut annuel,40.0,,5.0,43.4292257,3.5783997,2025-12-02,APEC,"Le service Sous la responsabilité du Directeur des Systèmes d’Information, vous rejoignez une équipe d’une vingtaine de collaborateurs organisée autour de pôles spécialisés : Ingénierie et Infrastructure / Cloud, Support Systèmes et Réseaux, Data Management, Développement Applicatif et Innovation Notre service accompagne plus de 500 utilisateurs répartis en France et à l’international. Il garantit la sécurité et la conformité des données de l’entreprise, pilote l’évolution et l’optimisation des solutions numériques, et assure un support de qualité pour répondre aux besoins des utilisateurs au quotidien. Missions principales Sous la responsabilité du Directeur des systèmes d’information, vous aurez pour missions principales d’intervenir sur des projets stratégiques intégrant des technologies avancées (Linux embarqué, ARM, cybersécurité OT) dans un environnement industriel critique. Vous évoluerez au sein d'une équipe pluridisciplinaire combinant expertise hardware, software embarqué et sécurité des systèmes industriels. Vos prenez en charge : Conception & Développement Concevoir et développer des systèmes embarqués sécurisés sous Linux (Yocto, Buildroot) Implémenter des fonctionnalités critiques en C/C++ et Python pour architectures ARM/x86 Participer à la définition des architectures logicielles, réseaux et cybersécurité Collaborer avec les équipes hardware pour l'optimisation des performances et la validation Cybersécurité & Réseaux Mettre en place des solutions de cybersécurité pour environnements OT/SCADA Réaliser des audits techniques et tests d'intrusion sur systèmes embarqués Implémenter les protocoles sécurisés : TLS/SSL, VPN, chiffrement matériel Appliquer les normes IEC 62443, ANSSI et bonnes pratiques de sécurité industrielle Qualité & DevOps Contribuer à l'intégration continue (CI/CD) avec GitLab Rédiger les tests unitaires, d'intégration et la documentation technique Participer aux revues de code et à l'amélioration continue des processus Profil, connaissances et expériences recherchés Diplôme d’ingénieur ou Master en informatique embarquée, électronique ou équivalent Expérience sur un poste similaire de 5 ans minimum, développement systèmes embarqués Expérience significative en environnement industriel ou secteur critique (défense, naval, robotique sous-marine, énergie...) Maîtrise des langages C, C++, Python en environnement embarqué Expertise Linux embarqué: kernel, drivers, Yocto/Buildroot Connaissance des architectures ARM, protocoles réseaux (TCP/IP, Ethernet, Modbus, CAN) Expérience en cybersécurité appliquée aux systèmes industriels (SCADA, ICS) Pratique des outils : Git, JIRA, CI/CD, Wireshark, outils d'analyse de vulnérabilités Atouts Différenciants Expérience sur plateformes Nvidia Jetson, Raspberry Pi, STM32 Connaissance des ROV ou robotique mobile Certifications cybersécurité (OSCP, CEH, CompTIA Security+) Contribution à des projets open source ou publications techniques Expérience en secteur énergie",MEZE,Hérault,Ingénieur Systèmes embarqués F/H,ingénieur systèmes embarqués,0.5050945749473968,lsa
2090,Ingénieur(e) systèmes embarqués F/H,Ingénieur(e) systèmes embarqués F/H,FULL_TIME,CDI,A partir de 50 k€ brut annuel,50.0,,5.0,48.8125272,1.9467748,2025-12-15,APEC,"En coordination avec le responsable projet, Vous développez l’architecture du produit en arbitrant sur des choix techniques avec le support des ingénieurs (hardware, firmware (FPGA), software, mécanique, industrialisation). Vous définissez et suivez les exigences et la conception du système pour cadrer le développement des différentes parties du produit. . Vous veillez à l'adéquation entre la définition du produit, les différentes demandes techniques du client, les normes et la réglementation.",PLAISIR,,Ingénieur(e) systèmes embarqués F/H,ingénieur systèmes embarqués,0.5050945749473968,lsa
3128,Ingénieur Systèmes Embarqués & IA F/H,Ingénieur Systèmes Embarqués & IA F/H,FULL_TIME,CDI,45 - 55 k€ brut annuel,45.0,55.0,,43.2981227,5.6443252,2025-12-11,APEC,"L'ingénieur·e sera en première ligne pour rendre opérationnels les modèles IA développés en laboratoire et les déployer sur site client. Le rôle implique de construire et maintenir une infrastructure IA robuste, de collaborer avec les équipes data science, logiciel et terrain, et de suivre les performances des modèles en conditions réelles. Missions principales : * Concevoir, maintenir et optimiser les pipelines de données et d'entraînement des modèles IA. * Étudier et benchmarker les performances des algorithmes offline et online. * Mettre en place des solutions CI/CD pour les modèles deep learning. * Intégrer les modèles dans l'écosystème logiciel embarqué (Edge AI). * Monitorer les performances sur le terrain et proposer des améliorations continues. * Structurer, annoter et sécuriser les données. * Collaborer étroitement avec data scientists, ingénieurs embarqués et experts métier.",Bruxelles,Aube,Ingénieur Systèmes Embarqués & IA F/H,ingénieur systèmes embarqués,0.5050945749473968,lsa
6375,Ingénieur Systèmes F/H,Ingénieur Systèmes F/H,FULL_TIME,CDI,40 - 45 k€ brut annuel,40.0,45.0,,44.8575361,-0.5734451,2025-11-26,APEC,"Nous recherchons pour l'un de nos clients, acteur innovant du secteur industriel et technologique, un Ingénieur Systèmes prêt à intervenir sur des projets stratégiques alliant innovation, performance et sécurité. Vous intégrerez une équipe IT passionnée, orientée utilisateur, et jouerez un rôle clé dans la conception et l'évolution d'infrastructures critiques Missions - Modernisation de l'infrastructure IT (serveurs, services, sécurité) - Conception & déploiement de réseaux cloisonnés pour environnements d'essais - Contribution au développement du Système d'Information dans un environnement Windows / Linux - Mise en place d'outils de supervision, gestion des accès et sécurisation - MCO/MCS des infrastructures et participation à la conformité - Support utilisateurs et accompagnement au changement - Alternance RUN / BUILD selon les phases projets",Bruxelles,Aube,Ingénieur Systèmes F/H,ingénieur systèmes,0.5021544247798191,lsa
2397,Ingénieur systèmes F/H,Ingénieur systèmes F/H,FULL_TIME,CDI,A partir de 45 k€ brut annuel,45.0,,1.0,,,2025-12-15,APEC,"Vous êtes passionné(e) par les environnements Linux, les infrastructures performantes et la sécurité au plus haut niveau ? Vous cherchez un poste où expertise technique, innovation et travail en équipe sont au cœur de chaque journée ? En tant qu'ingénieur système, vous êtes responsable du déploiement et du maintien en condition opérationnelle des plateformes de services de l'entreprise, tout en veillant à intégrer les évolutions technologiques. Vous assurez la maintenance des services applicatifs liés aux services réseaux et gérez les ressources systèmes en garantissant leur cohérence, leur qualité et leur sécurité. Vous travaillez en particulier avec l'équipe réseaux et l'équipe cloud infrastructure. Vos missions principales En tant qu'Ingénieur Systèmes, vous serez un pilier dans la conception, l'évolution et la fiabilité de nos plateformes : - Administrer nos systèmes et plateformes Linux : mises à jour, sécurité, optimisation… - Déployer de nouvelles plateformes grâce à VMware ESX et OpenStack. - Diagnostiquer et résoudre les incidents N2/N3 avec une expertise pointue. - Gérer les services réseaux et les accès associés. - Industrialiser l'exploitation grâce au scripting et aux outils Shell. - Maintenir des procédures d'exploitation claires, efficaces et à jour. - Garantir l'intégrité des données : sauvegardes, contrôles d'accès, pare-feux… - Participer aux astreintes, au sein d'une équipe soudée.",,,Ingénieur systèmes F/H,ingénieur systèmes,0.5021544247798191,lsa
