offer_id,title,job_name,job_type,contract_type,salary_label,salary_min,salary_max,min_experience,latitude,longitude,date,source,offer_description,city,region,document,clean_document,score,method
4650,Concepteur systèmes embarqués F/H,Concepteur systèmes embarqués F/H,FULL_TIME,CDI,45 - 45 k€ brut annuel,45.0,45.0,1.0,47.2409919,5.2211056,2025-12-05,APEC,"Nous recherchons un ingénieur ou une ingénieure en développement logiciel embarqué pour rejoindre notre équipe innovante. Vous serez responsable de la conception de la partie électronique, du développement et de l’optimisation de solutions logicielles pour des systèmes embarqués complexes, intégrant des technologies avancées telles que l’Internet des objets, le traitement du signal et l’apprentissage automatique. Ce poste offre l’opportunité de travailler sur des projets à la pointe de la technologie, en collaboration avec des équipes pluridisciplinaires, dans un environnement dynamique et stimulant. Responsabilités Définir le cahier des charges partie électronique et informatique Gérer les projets confiés par rapport aux objectifs fixés du début jusqu’à la mise en production Elaborer l’architecture hardware et software des produits dans le respect des normes (CEM,CE ,UL…) Réaliser le schéma électronique, la nomenclature, le routage et la validation de la carte Développer le logiciel embarqué et en assurer le suivi Industrialiser et suivre la fabrication des cartes chez les sous -traitants Faire les tests et les qualifications des produits. Assurer la veille technologique des cartes électroniques existantes pour en garantir la pérennité Coordonner ses activités avec le BE mécanique et la production pour l’intégration des produits Contribuer à la documentation technique et à la veille technologique pour proposer des améliorations continues.",Bruxelles,Aube,Concepteur systèmes embarqués F/H,concepteur systèmes embarqués,0.3797131936058974,tfidf
1594,Concepteur / Conceptrice Ingénieur systèmes embarqués F/H,Concepteur / Conceptrice Ingénieur systèmes embarqués F/H,FULL_TIME,CDI,45 - 47 k€ brut annuel,45.0,47.0,3.0,47.3228583,5.0375294,2025-12-16,APEC,"Nous recherchons un ingénieur ou une ingénieure en développement logiciel embarqué pour rejoindre notre équipe innovante avec le Directur de site. Vous serez responsable de la conception de la partie électronique, du développement et de l’optimisation de solutions logicielles pour des systèmes embarqués complexes, intégrant des technologies avancées telles que l’Internet des objets, le traitement du signal et l’apprentissage automatique. Ce poste offre l’opportunité de travailler sur des projets à la pointe de la technologie, en collaboration avec des équipes pluridisciplinaires, dans un environnement dynamique et stimulant. Le poste est basé à Genlis - 21, à 10 minutes de Dijon. Responsabilités : Définir le cahier des charges partie électronique et informatique Gérer les projets confiés par rapport aux objectifs fixés du début jusqu’à la mise en production Elaborer l’architecture hardware et software des produits dans le respect des normes (CEM,CE ,UL…) Réaliser le schéma électronique, la nomenclature, le routage et la validation de la carte Développer le logiciel embarqué et en assurer le suivi Industrialiser et suivre la fabrication des cartes chez les sous -traitants Faire les tests et les qualifications des produits. Assurer la veille technologique des cartes électroniques existantes pour en garantir la pérennité Coordonner ses activités avec le BE mécanique et la production pour l’intégration des produits Contribuer à la documentation technique et à la veille technologique pour proposer des améliorations continues. Si vous souhaitez contribuer à des projets innovants dans un secteur en constante évolution, rejoignez notre équipe dès maintenant. Poste en CDI, Forfait jour, au sein d'une petite équipe de travail. Type d'emploi : Temps plein, CDI Statut : Cadre Lieu du poste : En présentiel",BESANCON,,Concepteur / Conceptrice Ingénieur systèmes embarqués F/H,concepteur conceptrice ingénieur systèmes embarqués,0.3371689679493752,tfidf
5457,Ingénieur Systèmes embarqués F/H,Ingénieur Systèmes embarqués F/H,FULL_TIME,CDI,A partir de 40 k€ brut annuel,40.0,,5.0,43.4292257,3.5783997,2025-12-02,APEC,"Le service Sous la responsabilité du Directeur des Systèmes d’Information, vous rejoignez une équipe d’une vingtaine de collaborateurs organisée autour de pôles spécialisés : Ingénierie et Infrastructure / Cloud, Support Systèmes et Réseaux, Data Management, Développement Applicatif et Innovation Notre service accompagne plus de 500 utilisateurs répartis en France et à l’international. Il garantit la sécurité et la conformité des données de l’entreprise, pilote l’évolution et l’optimisation des solutions numériques, et assure un support de qualité pour répondre aux besoins des utilisateurs au quotidien. Missions principales Sous la responsabilité du Directeur des systèmes d’information, vous aurez pour missions principales d’intervenir sur des projets stratégiques intégrant des technologies avancées (Linux embarqué, ARM, cybersécurité OT) dans un environnement industriel critique. Vous évoluerez au sein d'une équipe pluridisciplinaire combinant expertise hardware, software embarqué et sécurité des systèmes industriels. Vos prenez en charge : Conception & Développement Concevoir et développer des systèmes embarqués sécurisés sous Linux (Yocto, Buildroot) Implémenter des fonctionnalités critiques en C/C++ et Python pour architectures ARM/x86 Participer à la définition des architectures logicielles, réseaux et cybersécurité Collaborer avec les équipes hardware pour l'optimisation des performances et la validation Cybersécurité & Réseaux Mettre en place des solutions de cybersécurité pour environnements OT/SCADA Réaliser des audits techniques et tests d'intrusion sur systèmes embarqués Implémenter les protocoles sécurisés : TLS/SSL, VPN, chiffrement matériel Appliquer les normes IEC 62443, ANSSI et bonnes pratiques de sécurité industrielle Qualité & DevOps Contribuer à l'intégration continue (CI/CD) avec GitLab Rédiger les tests unitaires, d'intégration et la documentation technique Participer aux revues de code et à l'amélioration continue des processus Profil, connaissances et expériences recherchés Diplôme d’ingénieur ou Master en informatique embarquée, électronique ou équivalent Expérience sur un poste similaire de 5 ans minimum, développement systèmes embarqués Expérience significative en environnement industriel ou secteur critique (défense, naval, robotique sous-marine, énergie...) Maîtrise des langages C, C++, Python en environnement embarqué Expertise Linux embarqué: kernel, drivers, Yocto/Buildroot Connaissance des architectures ARM, protocoles réseaux (TCP/IP, Ethernet, Modbus, CAN) Expérience en cybersécurité appliquée aux systèmes industriels (SCADA, ICS) Pratique des outils : Git, JIRA, CI/CD, Wireshark, outils d'analyse de vulnérabilités Atouts Différenciants Expérience sur plateformes Nvidia Jetson, Raspberry Pi, STM32 Connaissance des ROV ou robotique mobile Certifications cybersécurité (OSCP, CEH, CompTIA Security+) Contribution à des projets open source ou publications techniques Expérience en secteur énergie",MEZE,Hérault,Ingénieur Systèmes embarqués F/H,ingénieur systèmes embarqués,0.32442913740730556,tfidf
2090,Ingénieur(e) systèmes embarqués F/H,Ingénieur(e) systèmes embarqués F/H,FULL_TIME,CDI,A partir de 50 k€ brut annuel,50.0,,5.0,48.8125272,1.9467748,2025-12-15,APEC,"En coordination avec le responsable projet, Vous développez l’architecture du produit en arbitrant sur des choix techniques avec le support des ingénieurs (hardware, firmware (FPGA), software, mécanique, industrialisation). Vous définissez et suivez les exigences et la conception du système pour cadrer le développement des différentes parties du produit. . Vous veillez à l'adéquation entre la définition du produit, les différentes demandes techniques du client, les normes et la réglementation.",PLAISIR,,Ingénieur(e) systèmes embarqués F/H,ingénieur systèmes embarqués,0.32442913740730556,tfidf
3128,Ingénieur Systèmes Embarqués & IA F/H,Ingénieur Systèmes Embarqués & IA F/H,FULL_TIME,CDI,45 - 55 k€ brut annuel,45.0,55.0,,43.2981227,5.6443252,2025-12-11,APEC,"L'ingénieur·e sera en première ligne pour rendre opérationnels les modèles IA développés en laboratoire et les déployer sur site client. Le rôle implique de construire et maintenir une infrastructure IA robuste, de collaborer avec les équipes data science, logiciel et terrain, et de suivre les performances des modèles en conditions réelles. Missions principales : * Concevoir, maintenir et optimiser les pipelines de données et d'entraînement des modèles IA. * Étudier et benchmarker les performances des algorithmes offline et online. * Mettre en place des solutions CI/CD pour les modèles deep learning. * Intégrer les modèles dans l'écosystème logiciel embarqué (Edge AI). * Monitorer les performances sur le terrain et proposer des améliorations continues. * Structurer, annoter et sécuriser les données. * Collaborer étroitement avec data scientists, ingénieurs embarqués et experts métier.",Bruxelles,Aube,Ingénieur Systèmes Embarqués & IA F/H,ingénieur systèmes embarqués,0.32442913740730556,tfidf
2109,Architecte systèmes F/H,Architecte systèmes F/H,FULL_TIME,CDI,55 - 70 k€ brut annuel,55.0,70.0,5.0,48.7838513,2.1973528,2025-12-15,APEC,"En tant qu’Architecte Système, vous serez au cœur de la conception de solutions innovantes pour des systèmes complexes intégrant supervision, sécurité et télécommunications. Votre rôle sera essentiel pour garantir la performance, la fiabilité et la satisfaction des clients. Missions: Analyser les besoins des clients et proposer des solutions techniques différenciantes. Concevoir et valider des architectures de systèmes et sous-systèmes. Défendre et présenter les choix techniques et les stratégies aux parties prenantes. Répondre à des appels d’offres en valorisant nos solutions innovantes. Collaborer avec des équipes pluridisciplinaires dans un contexte international.",PARIS 5,,Architecte systèmes F/H,architecte systèmes,0.2698849643235771,tfidf
6112,Ingénieur Réseaux et Systèmes F/H,Ingénieur Réseaux et Systèmes F/H,FULL_TIME,CDI,40 - 45 k€ brut annuel,40.0,45.0,,48.1116777,-1.6818562,2025-11-28,APEC,"Nous recrutons pour l'un de nos clients, un acteur majeur des services numériques, un Ingénieur Réseaux & Systèmes afin d'accompagner la modernisation et la sécurisation de son infrastructure. - Administrer et optimiser les infrastructures systèmes (Windows/Linux) et réseaux. - Gérer les environnements virtualisés (VMware, Hyper-V). - Participer aux projets d'évolution : SD-WAN, segmentation réseau, PRA/PCA. - Assurer le suivi de la sécurité (patching, durcissement, firewalling). - Diagnostiquer, analyser et résoudre les incidents avancés. Environnement technique VMware, Windows Server, Linux, Cisco Fortigate, Active Directory, Azure AD, Veeam, GLPI.",Bruxelles,Aube,Ingénieur Réseaux et Systèmes F/H,ingénieur réseaux systèmes,0.2669969023838934,tfidf
5344,Ingénieur cybersécurité Systèmes embarqués F/H,Ingénieur cybersécurité Systèmes embarqués F/H,FULL_TIME,CDI,A partir de 55 k€ brut annuel,55.0,,5.0,48.8023175,2.1174206,2025-12-02,APEC,"Vous intégrerez, au sein de notre Pôle Cybersécurité, une équipe dédiée à l'accompagnement de nos clients sur des missions de conseil, notamment au sein d'environnements techniques critiques. Au sein d'un environnement industriel exigeant, vous interviendrez sur un système complexe composé de plusieurs calculateurs embarqués et interconnectés, déployés dans des véhicules. Vous accompagnez les équipes techniques et métiers sur des sujets critiques liés à la sécurisation des communications, la cryptographie, la PKI et la détection d'événements cyber embarqués. Vos missions seront les suivantes : Expertise & Conseil Cybersécurité : -  Apporter une expertise pointue en cybersécurité appliquée aux systèmes embarqués. -  Analyser les besoins des équipes métiers et les accompagner dans la définition d'architectures sécurisées. -  Contribuer à la stratégie de sécurisation globale du système. Mise en place d'un système centralisé de gestion des signatures : -  Participer à la conception et au déploiement d'une PKI centrale (certificats, chaînes de confiance…). -  Définir les processus liés à la génération, distribution et révocation de certificats, les CRL, le protocole OCSP, les usages applicatifs (JWS, JWT). Définition d'un système embarqué de détection cyber : -  Concevoir un composant embarqué dédié à la détection d'événements cyber et d'anomalies. -  Identifier les indicateurs pertinents -  Définir les mécanismes de remontée, corrélation et alerting -  Contribuer à l'intégration de ce système dans l'architecture globale",VERSAILLES,,Ingénieur cybersécurité Systèmes embarqués F/H,ingénieur cybersécurité systèmes embarqués,0.2527858126829609,tfidf
1536,Ingénieur cybersécurité des systèmes embarqués F/H,Ingénieur cybersécurité des systèmes embarqués F/H,FULL_TIME,CDI,A partir de 60 k€ brut annuel,60.0,,5.0,48.9345454,2.2939316,2025-12-16,APEC,"Vous intégrerez, au sein de notre Pôle Cybersécurité, une équipe en charge d'accompagner nos clients sur des missions d'expertise en cybersécurité. Vous serez détaché(e) chez un acteur majeur du secteur de la défense. Vos missions seront les suivantes : Ingénierie de sécurité & systèmes - Contribuer à l'ingénierie de sécurité de systèmes complexes et d'équipements embarqués. - Participer à la définition des architectures systèmes et à l'analyse des impacts sécurité. - Rédiger et maintenir les dossiers de spécification système et de sécurité (SSS, SSDD, ICD, notes techniques. - Assurer la cohérence entre les exigences de sécurité, l'architecture logique et matérielle. Dossiers de sécurité & analyse de risques - Réaliser et animer des analyses de risques (EBIOS RM ou équivalent). - Décliner les exigences de sécurité dans les dossiers de sécurité - Garantir la traçabilité et la cohérence des exigences sécurité tout au long du cycle de vie système. Développement sécurisé & support projet - Apporter une expertise en développement sécurisé, en lien avec les équipes logiciel et matériel. - Participer aux revues d'architecture, de conception et de tests. - Contribuer à la définition et à l'analyse des règles de développement sécurisé. - Réaliser des prototypes ou preuves de concept pour appuyer les choix techniques et sécuritaires.",VERSAILLES,,Ingénieur cybersécurité des systèmes embarqués F/H,ingénieur cybersécurité systèmes embarqués,0.2527858126829609,tfidf
5058,Ingénieur-e systèmes d'information F/H,Ingénieur-e systèmes d'information F/H,FULL_TIME,CDI,,,,5.0,48.596656,2.672456,2025-12-03,APEC,"Safran Aircraft Engines conçoit, produit et commercialise, seul ou en coopération, des moteurs aéronautiques civils et militaires aux meilleurs niveaux de performance. La société est notamment, à travers CFM International, le leader mondial de la propulsion d'avions commerciaux court et moyen-courriers. Dans le domaine de la propulsion militaire, la société a intégralement conçu développé et produit le M88 et le M53 qui équipent respectivement le Rafale et le Mirage 2000 et sera intégrateur du moteur du futur avion de combat européen. Au sein de Safran Aircraft Engines, la Direction de l'Engineering du Support et des Services a pour mission d'assurer la satisfaction des clients et la profitabilité des activités par l'expertise technique tout en garantissant la sécurité des vols. Elle compte ainsi une pluralité de métiers qui gèrent la relation client, le suivi du comportement des produits en service et l'élaboration d'actions correctives permettant d'optimiser le coût d'exploitation des moteurs en service. Rattaché(e) à l'unité Maintenabilité moteurs civils, vous assurerez le rôle d'ingénieur systèmes d'information en lien avec le PLM (Product Life Management) de nos activités d'Analyse du Soutien Logistique, développé sur la plateforme 3DExperience de Dassault Systèmes. Ce PLM développé au sein de Safran Aircraft Engine a pour ambition d'être au coeur des activités d'études de maintenabilité, de spécifications des procédures et moyens de maintenance de nos moteurs en service et en développement. Il constitue notre BASL (Base d'Analyse du Soutien Logistique). Vos principales activités seront les suivantes : - Coordonner les différents métiers utilisateurs de la BASL, en définissant avec les garants processus les règles de fonctionnement et d'utilisation des applications associées. - Capter et gérer les besoins d'évolution des applications, en identifiant les axes d'amélioration et en arbitrant les demandes de modification à initier vers l'équipe projet de développement de la BASL, - Proposer des améliorations de processus en lien avec les applications de la BASL et en vue d'augmenter la performance du service, - Mettre en place et piloter un réseau, en accompagnant la formation des relais locaux nécessaire au support de niveau 1 et la montée en compétence des utilisateurs, - Assurer le rôle de gestionnaire des données (Data Steward), en définissant les standards et bonnes pratiques ainsi qu'en monitorant la qualité des données renseignées par les différents métiers, - Participer au plan d'amélioration de l'unité, en pilotant des activités du plan de progrès (méthodologies, outils,..).",MONTEREAU-SUR-LE-JARD,,Ingénieur-e systèmes d'information F/H,ingénieur systèmes information,0.23969899054902208,tfidf
